variable;unit;min;max;Definition
Tech|Hydrogen|Coal|w/o CCS|OM Cost|fixed;US$2005/kW/yr;1.10774;;Annual fixed operation & maintainance cost of a new coal to hydrogen plant w/o CCS. If more than one coal to hydrogen technology is modelled,modellers should report fixed O&M costs  for each represented coal to hydrogen technology by adding variables OM Cost|Fixed|Hydrogen|Coal|w/o CCS|2,... OM Cost|Fixed|Hydrogen|Coal|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Hydrogen|Electricity|OM Cost|fixed;US$2005/kW/yr;1.10774;;Annual fixed operation & maintainance cost of a new hydrogen-by-electrolysis plant. If more than hydrogen-by-electrolysis technology is modelled,modellers should report fixed O&M costs  for each represented hydrogen-by-electrolysis technology by adding variables OM Cost|Fixed|Hydrogen|Electricity|2,... OM Cost|Fixed|Hydrogen|Electricity|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Hydrogen|Gas|w/ CCS|OM Cost|fixed;US$2005/kW/yr;1.10774;;Annual fixed operation & maintainance cost of a new gas to hydrogen plant with CCS. If more than one CCS gas to hydrogen technology is modelled,modellers should report fixed O&M costs  for each represented CCS gas to hydrogen technology by adding variables OM Cost|Fixed|Hydrogen|Gas|w/ CCS|2,... OM Cost|Fixed|Hydrogen|Gas|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Hydrogen|Gas|w/o CCS|OM Cost|fixed;US$2005/kW/yr;1.10774;;Annual fixed operation & maintainance cost of a new gas to hydrogen plant w/o CCS. If more than one gas to hydrogen technology is modelled,modellers should report fixed O&M costs  for each represented gas to hydrogen technology by adding variables OM Cost|Fixed|Hydrogen|Gas|w/o CCS|2,... OM Cost|Fixed|Hydrogen|Gas|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Liquids|Biomass|Biofuel|BioFTRC|w/ CCS|OM Cost|fixed;US$2005/kW/yr;1.10774;;Annual fixed operation & maintainance cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled,modellers should report fixed O&M costs  for each represented CCS BTL technology by adding variables OM Cost|Fixed|Liquids|Biomass|w/ CCS|2,... OM Cost|Fixed|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Liquids|Biomass|Biofuel|BioFTR|w/o CCS|OM Cost|fixed;US$2005/kW/yr;1.10774;;Annual fixed operation & maintainance cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled,modellers should report fixed O&M costs  for each represented BTL technology by adding variables OM Cost|Fixed|Liquids|Biomass|w/o CCS|2,... OM Cost|Fixed|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Liquids|Coal|w/ CCS|OM Cost|fixed;US$2005/kW/yr;1.10774;;Annual fixed operation & maintainance cost of a new coal to liquids plant with CCS. If more than one CCS CTL technology is modelled,modellers should report fixed O&M costs  for each represented CCS CTL technology by adding variables OM Cost|Fixed|Liquids|Coal|w/ CCS|2,... OM Cost|Fixed|Liquids|Coal|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Liquids|Coal|w/o CCS|OM Cost|fixed;US$2005/kW/yr;1.10774;;Annual fixed operation & maintainance cost of a new coal to liquids plant w/o CCS. If more than one CTL technology is modelled,modellers should report fixed O&M costs  for each represented CTL technology by adding variables OM Cost|Fixed|Liquids|Coal|w/o CCS|2,... OM Cost|Fixed|Liquids|Coal|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Tech|Liquids|Oil|OM Cost|fixed;US$2005/kW/yr;1.10774;;Annual fixed operation & maintainance cost of a new oil refining plant. If more than one refinery technology is modelled,modellers should report fixed O&M costs  for each represented refinery technology by adding variables OM Cost|Fixed|Liquids|Oil|2,... OM Cost|Fixed|Liquids|Oil|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Trade|Goods;billion US$2005/yr;1.10774;;
Water Consumption|Electricity;km3/yr;;;Water consumption for electricity generation
SDG|SDG06|Agricultural water use;km3/yr;;;water withdrawal for irrigation
UE|per capita|Transport|Pass;GJ/cap/yr;;;Useful energy per capita for passenger transport.
Disability-Adjusted Life Year|PM2_5;DALY/yr;;;Disability adjusted life years lost per year from air pollution health impact
UE|per capita|Buildings;GJ/cap/yr;;;Useful energy per capita for buildings
Intensity|Final Energy;EJ/billion US$2010;;;Final energy / GDP PPP
Final Energy|Industry|Electricity|Share;%;;;Share of electrified FE in industry
Air pollution concentration|PM2_5|Urban population;ug/m3;;;Urban population weighted annual average PM2.5 concentrations.
Population|Poverty|LMIC poverty line;million;;;population living in poverty with income <US$3.20 2011 PPP per day (World Bank LMIC definition)
Population|Poverty|UMIC poverty line;million;;;population living in poverty with income <US$5.50 2011 PPP per day (World Bank LMIC definition)
Population|Gender education gap|Primary;percentage points;;;difference between genders in primary education completion rate (age 15+)
Population|Gender education gap|Secondary;percentage points;;;difference between genders in secondary education completion rate (age 20+)
GDP|PPP|Per capita growth rate;percent;;;GDP/cap (PPP) growth rate
GDP|PPP|Per capita ratio to OECD;percent;;;Ratio of GDP/cap (PPP) of developing regions to OECD average
Population|Relative poverty|wrt median income|Share;percent;;;Share of population below 50% of national median income
Inequality|Bottom 40% average income|Ratio;percent;;;Average income of bottom 40% relative to national average
Policy Cost|Transfers;billion US$2005/yr;1.10774;;Net international climate finance transfers (positive for inflow,negative for payment)
SDG|SDG02|Prevalence of underweight;million;;;Number of adults with BMI<18.5 and children with <-1SD from reference BMI
SDG|SDG02|Prevalence of underweight|Children;million;;;Number of underweight children (-2SD from reference BMI, aged 0--14)
SDG|SDG03|Prevalence of overweight;million;;;Number of adults with BMI>25 and children with >1SD from reference BMI
SDG|SDG03|Prevalence of overweight|Children;million;;;Number of overweight children (+1SD from reference BMI, aged 0--14)
SDG|SDG03|Prevalence of obesity;million;;;Number of adults with BMI>30 and children with >2SD from reference BMI
SDG|SDG03|Prevalence of obesity|Children;million;;;Number of obese children (+2SD from reference BMI, aged 0--14)
SDG|SDG02|Food availability;kcal/cap/day;;;Food available for consumption per capita
SDG|SDG12|Food waste;kcal/cap/day;;;Food waste per capita
SDG|SDG02|Food expenditure share;income;100;;Share of food expenditure in total income
SDG|SDG12|Material footprint;tDM/capita/yr;;;Biomass usage per capita (excluding pasture + forestry)
SDG|SDG15|Forest share;share of total land;100;;Managed and unmanaged forests as share of total terrestrial land area (excluding surface water)
Biodiversity|BII;unitless;;;Biodiversity Intactness Index (BII)
Ocean|pH value;-;;;Ocean acidification: pH value
Ocean|Carbonate Saturation|Calcite;-;;;Saturation state of calcite (Omega_C)
Ocean|Carbonate Saturation|Aragonite;-;;;Saturation state of aragonite (Omega_A)
Ocean|Net primary production;GtC/yr;-;;Net primary production of biomass in oceans
Ocean|New production;GtC/yr;;;New production of biomass in oceans
Ocean|Extension of suboxic zones;km3;;;Extension of suboxic zones in oceans
Political institutions|Equality before law and individual liberty;-;;;aggregated â€˜Equality Before the Law and Individual Liberty' index (0-1) as defined by V-DEM
